LAD17NM,cars_percap_2018,LAD11NM,RUC11,
Adur,0.488,Adur,Urban with City and Town,TRUE
Allerdale,0.52,Allerdale,Mainly Rural (rural including hub towns >=80%) ,TRUE
Amber Valley,0.54,Amber Valley,Urban with Minor Conurbation,TRUE
Arun,0.547,Arun,Urban with City and Town,TRUE
Ashfield,0.476,Ashfield,Urban with City and Town,TRUE
Ashford,0.551,Ashford,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Aylesbury Vale,0.56,Aylesbury Vale,Largely Rural (rural including hub towns 50-79%) ,TRUE
Babergh,0.587,Babergh,Mainly Rural (rural including hub towns >=80%) ,TRUE
Barking and Dagenham,0.304,Barking and Dagenham,Urban with Major Conurbation,TRUE
Barnet,0.37,Barnet,Urban with Major Conurbation,TRUE
Barnsley,0.463,Barnsley,Urban with Minor Conurbation,TRUE
Barrow-in-Furness,0.442,Barrow-in-Furness,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Basildon,0.498,Basildon,Urban with City and Town,TRUE
Basingstoke and Deane,0.565,Basingstoke and Deane,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bassetlaw,0.52,Bassetlaw,Largely Rural (rural including hub towns 50-79%) ,TRUE
Bath and North East Somerset,0.501,Bath and North East Somerset,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bedford,0.601,Bedford,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bexley,0.433,Bexley,Urban with Major Conurbation,TRUE
Birmingham,0.616,Birmingham,Urban with Major Conurbation,TRUE
Blaby,0.56,Blaby,Urban with City and Town,TRUE
Blackburn with Darwen,0.404,Blackburn with Darwen,Urban with City and Town,TRUE
Blackpool,0.405,Blackpool,Urban with City and Town,TRUE
Bolsover,0.511,Bolsover,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bolton,0.436,Bolton,Urban with Major Conurbation,TRUE
Boston,0.517,Boston,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bournemouth,0.459,Bournemouth,Urban with City and Town,TRUE
Bracknell Forest,0.702,Bracknell Forest,Urban with City and Town,TRUE
Bradford,0.388,Bradford,Urban with Major Conurbation,TRUE
Braintree,0.555,Braintree,Largely Rural (rural including hub towns 50-79%) ,TRUE
Breckland,0.57,Breckland,Mainly Rural (rural including hub towns >=80%) ,TRUE
Brent,0.287,Brent,Urban with Major Conurbation,TRUE
Brentwood,0.679,Brentwood,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Brighton and Hove,0.333,Brighton and Hove,Urban with City and Town,TRUE
"Bristol, City of",0.408,"Bristol, City of",Urban with City and Town,TRUE
Broadland,0.591,Broadland,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Bromley,0.457,Bromley,Urban with Major Conurbation,TRUE
Bromsgrove,0.599,Bromsgrove,Urban with City and Town,TRUE
Broxbourne,0.532,Broxbourne,Urban with Major Conurbation,TRUE
Broxtowe,0.481,Broxtowe,Urban with Minor Conurbation,TRUE
Burnley,0.423,Burnley,Urban with City and Town,TRUE
Bury,0.571,Bury,Urban with Major Conurbation,TRUE
Calderdale,0.437,Calderdale,Urban with Major Conurbation,TRUE
Cambridge,0.352,Cambridge,Urban with City and Town,TRUE
Camden,0.165,Camden,Urban with Major Conurbation,TRUE
Cannock Chase,0.52,Cannock Chase,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Canterbury,0.452,Canterbury,Urban with City and Town,TRUE
Carlisle,0.481,Carlisle,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Castle Point,0.545,Castle Point,Urban with City and Town,TRUE
Central Bedfordshire,0.566,Central Bedfordshire,Largely Rural (rural including hub towns 50-79%) ,TRUE
Charnwood,0.502,Charnwood,Urban with City and Town,TRUE
Chelmsford,0.543,Chelmsford,Urban with City and Town,TRUE
Cheltenham,0.494,Cheltenham,Urban with City and Town,TRUE
Cherwell,0.717,Cherwell,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Cheshire East,0.569,Cheshire East,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Cheshire West and Chester,0.548,Cheshire West and Chester,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Chesterfield,0.553,Chesterfield,Urban with City and Town,TRUE
Chichester,0.594,Chichester,Largely Rural (rural including hub towns 50-79%) ,TRUE
Chiltern,0.614,Chiltern,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Chorley,0.53,Chorley,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Christchurch,0.564,Christchurch,Urban with City and Town,TRUE
City of London,0.305,City of London,Urban with Major Conurbation,TRUE
Colchester,0.5,Colchester,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Copeland,0.51,Copeland,Mainly Rural (rural including hub towns >=80%) ,TRUE
Corby,0.47,Corby,Urban with City and Town,TRUE
Cornwall,0.528,Cornwall,Mainly Rural (rural including hub towns >=80%) ,TRUE
Cotswold,0.639,Cotswold,Mainly Rural (rural including hub towns >=80%) ,TRUE
County Durham,0.46,County Durham,Largely Rural (rural including hub towns 50-79%) ,TRUE
Coventry,0.399,Coventry,Urban with City and Town,TRUE
Craven,0.535,Craven,Mainly Rural (rural including hub towns >=80%) ,TRUE
Crawley,0.468,Crawley,Urban with City and Town,TRUE
Croydon,0.378,Croydon,Urban with Major Conurbation,TRUE
Dacorum,0.541,Dacorum,Urban with Significant Rural (rural including hub towns 26-49%),TRUE
Darlington,0.477,Darlington,Urban with City and Town,TRUE
Dartford,0.51,Dartford,Urban with Major Conurbation,TRUE
Daventry,0.598,Daventry,Mainly Rural (rural including hub towns >=80%) ,TRUE
Derby,0.48,Derby,Urban with City and Town,TRUE
